bM,l_total,n,bH,emax,b_prime_H,total_error"2026-08-14 17:17:50,495",80,8949.930011877657,66,14,24,47,8.69743077690184e-11
800,10849.413435736511,60,19,23,47,9.177399731420834e-11
8000,12590.762897717399,58,23,23,49,7.601126236830343e-11
80000,14591.422865343337,52,30,22,51,8.394812017681128e-11
800000,16015.422865343337,52,33,22,55,7.319760307770457e-11
8000000,17434.42286534334,52,36,22,58,9.931754331109972e-11
80000000,19321.42286534334,52,40,22,61,7.60828198044239e-11
800000000,20745.42286534334,52,43,22,65,7.157550733139836e-11
8000000000,22164.42286534334,52,46,22,68,9.505934046735745e-11
80000000000,23951.078200034615,48,54,21,71,9.212232983838641e-11
80,8949.930011877657,66,14,24,47,8.69743077690184e-11
88,9216.947473205024,68,14,24,47,8.932580229588474e-11
96,9216.947473205024,68,14,24,47,9.215970282012434e-11
104,9216.947473205024,68,14,24,47,9.800158992815356e-11
112,9229.413435736511,60,16,23,47,9.741097339774069e-11
120,9448.762897717399,58,17,23,47,7.502067366032192e-11
128,9448.762897717399,58,17,23,47,8.323904372322508e-11
136,9448.762897717399,58,17,23,47,9.439608325873178e-11
144,9543.930011877657,66,15,24,47,7.173979726079835e-11
152,9543.930011877657,66,15,24,47,7.782190740702657e-11
160,9543.930011877657,66,15,24,47,8.69743077690184e-11
168,9769.413435736511,60,17,23,47,8.846100036484355e-11
176,9769.413435736511,60,17,23,47,8.899757376609297e-11
184,9769.413435736511,60,17,23,47,8.970027425625173e-11
192,9769.413435736511,60,17,23,47,9.060970900388733e-11
200,9769.413435736511,60,17,23,47,9.177399731420834e-11
208,9769.413435736511,60,17,23,47,9.324975000467477e-11
216,9769.413435736511,60,17,23,47,9.510312669365355e-11
240,9970.762897717399,58,18,23,47,8.002289452007302e-11
320,10137.930011877657,66,16,24,47,8.978567377059798e-11
400,10309.413435736511,60,18,23,47,9.177399731420834e-11
480,10492.762897717399,58,19,23,47,8.673041794564837e-11
560,10497.762897717399,58,19,23,48,9.72657079475758e-11
640,10731.930011877657,66,17,24,47,9.808481292427595e-11
720,10849.413435736511,60,19,23,47,8.932578528756127e-11
800,10849.413435736511,60,19,23,47,9.177399731420834e-11
1600,11389.413435736511,60,20,23,47,9.566889998048759e-11
2400,11924.930011877657,66,19,24,48,7.605511891480097e-11
3200,11934.413435736511,60,21,23,48,9.177399731420834e-11
4000,12063.762897717399,58,22,23,48,8.67147841699681e-11
4800,12474.413435736511,60,22,23,48,8.769429750666545e-11
5600,12474.413435736511,60,22,23,48,8.892217424935382e-11
6400,12474.413435736511,60,22,23,48,9.177399731420834e-11
7200,12474.413435736511,60,22,23,48,9.935685694500671e-11
8000,12590.762897717399,58,23,23,49,7.601126236830343e-11
16000,13112.762897717399,58,24,23,49,9.865190213073779e-11
24000,13564.413435736511,60,24,23,50,9.007006048391912e-11
32000,13639.762897717399,58,25,23,50,8.917326203569805e-11
40000,14104.413435736511,60,25,23,50,8.790426326550054e-11
48000,14104.413435736511,60,25,23,50,9.893876230051906e-11
56000,14109.413435736511,60,25,23,51,9.584096552991589e-11
64000,14166.762897717399,58,26,23,51,8.422788459480775e-11
72000,14171.762897717399,58,26,23,52,9.842968258989513e-11
80000,14591.422865343337,52,30,22,51,8.394812017681128e-11
160000,15064.422865343337,52,31,22,52,8.12693740629957e-11
240000,15069.422865343337,52,31,22,53,9.242986243181715e-11
320000,15537.422865343337,52,32,22,53,7.988381572826351e-11
400000,15542.422865343337,52,32,22,54,7.319760307770457e-11
480000,15542.422865343337,52,32,22,54,9.242986243181715e-11
560000,15752.762897717399,58,29,23,55,9.156204484276177e-11
640000,16010.422865343337,52,33,22,54,7.916794392198521e-11
720000,16010.422865343337,52,33,22,54,9.24701179424077e-11
800000,16015.422865343337,52,33,22,55,7.319760307770457e-11
1600000,16488.42286534334,52,34,22,56,7.319760307770457e-11
