timestamp,id,bM,n,bH,b_prime_H,e_max,forg_prob,rep_prob,t_QKD_Bob,t_QKD_Charlie,t_signatures_total,t_single_signature
"2026-08-19 12:11:40,035",37482184,8000,58,23,49,23,2.202697350636858e-11,5.398428886193485e-11,2.37180291704135,2.6667066249647178,4.462847582995892,0.03846042029507426
"2026-08-19 12:12:26,120",107107581,8000,58,23,49,23,2.202697350636858e-11,5.398428886193485e-11,2.339629541966133,2.5766143330256455,2.8565627089701593,0.024622748838235817
"2026-08-19 12:14:15,433",234840468,8000,58,23,49,23,2.202697350636858e-11,5.398428886193485e-11,2.398390374961309,2.3169788339873776,2.8957580419955775,0.02496048489561433
"2026-08-19 12:28:05,751",724766890,8000,58,23,49,23,2.202697350636858e-11,5.398428886193485e-11,2.4548131670453586,2.4278018749901094,3.3124015419743955,0.028544271144020403
"2026-08-19 12:36:14,432",509131688,8000,58,23,49,23,2.202697350636858e-11,5.398428886193485e-11,2.4944059170084074,2.353464666986838,2.927452292002272,0.025233424179344276
"2026-08-19 12:42:39,462",577881034,8000,58,23,49,23,2.202697350636858e-11,5.398428886193485e-11,2.3301145419827662,2.432396750024054,2.844543125014752,0.024512696517470837
"2026-08-19 12:46:56,019",529688823,8000,58,23,49,23,2.202697350636858e-11,5.398428886193485e-11,2.9172062080469914,2.3826189159881324,3.1913624169537798,0.02750054378351518
